height (mm),err (mm),-7.5,err,-3.75,err,centre,err,3.75,err,7.5,err
3,0.5,360.5,0.5,984,0.5,1103,1,1080,1,771,0.5
4,0.5,332,0.5,819,0.5,887.5,0.5,946,0.5,608,0.5
5,0.5,297.5,0.5,702.5,0.5,726,0.5,758,0.5,474,0.5
6,0.5,262.5,0.5,580,0.5,585,0.5,611,0.5,388.5,0.5
7,0.5,238.5,0.5,490.5,0.5,486.5,0.5,499.5,0.5,355.5,0.5
8,0.5,216.5,0.5,404,0.5,383.5,0.5,446.5,0.5,319,0.5
9,0.5,198,0.5,326,0.5,321.5,0.5,381.5,0.5,274,0.5
10,0.5,176.5,0.5,271.5,0.5,270,0.5,321.5,0.5,243,0.5
11,0.5,156,0.5,236.5,0.5,227.5,0.5,265,0.5,209.5,0.5
12,0.5,141.5,0.5,203,0.5,199.5,0.5,223,0.5,173.5,0.5
13,0.5,126.5,0.5,173.5,0.5,171,0.5,196,0.5,151.5,0.5
14,0.5,114.5,0.5,154.5,0.5,148,0.5,167.5,0.5,130,0.5
15,0.5,98,0.5,138,0.5,134,0.5,143,0.5,109.5,0.5
16,0.5,88.5,0.5,122.5,0.5,116,0.5,121,0.5,95,0.5
17,0.5,82.5,0.5,109,0.5,105.5,0.5,105.5,0.5,84,0.5
18,0.5,74.5,0.5,99,0.5,92.5,0.5,91.5,0.5,75,0.5
19,0.5,67,0.5,88.5,0.5,84,0.5,82.5,0.5,66,0.5
20,0.5,61.5,0.5,78.5,0.5,75,0.5,69.5,0.5,56.5,0.5
22,0.5,49,0.5,61.5,0.5,59.5,0.5,55.5,0.5,46.5,0.5
24,0.5,38.5,0.5,47.5,0.5,49,0.5,46.5,0.5,37,0.5
26,0.5,30.5,0.5,35,0.5,34.5,0.5,33.5,0.5,29.5,0.5
28,0.5,24.5,0.5,27,0.5,28,0.5,26,0.5,23.5,0.5
30,0.5,20.5,0.5,22,0.5,22,0.5,21.5,0.5,21.5,0.5
