height (mm),err (mm),-15,err,-7.5,err,centre,err,7.5,err,15,err
3,0.5,732.5,1,1466.5,1,1526,1,1580.5,1,962.5,1
4,0.5,613,0.5,1368.5,0.5,1471,1,1413,1,820,1
5,0.5,552.5,0.5,1192.5,0.5,1374,1,1285,1,708,1
6,0.5,519.5,0.5,1038.5,0.5,1252.5,1,1161.5,0.5,626,0.5
7,0.5,489.5,0.5,960.5,0.5,1162,0.5,1034,0.5,573.5,0.5
8,0.5,447,0.5,881,0.5,1079.5,0.5,951,0.5,529.5,0.5
9,0.5,419.5,0.5,811.5,0.5,990,0.5,861.5,0.5,479.5,0.5
10,0.5,390,0.5,719.5,0.5,903,0.5,767,0.5,442,0.5
11,0.5,355,0.5,623.5,0.5,840,0.5,711.5,0.5,403,0.5
12,0.5,335,0.5,553,0.5,746.5,0.5,628.5,0.5,374.5,0.5
13,0.5,310.5,0.5,515,0.5,669,0.5,557.5,0.5,346.5,0.5
14,0.5,292,0.5,471.5,0.5,609.5,0.5,484,0.5,312.5,0.5
15,0.5,266.5,0.5,416,0.5,546.5,0.5,421,0.5,296,0.5
16,0.5,248.5,0.5,381,0.5,486.5,0.5,370.5,0.5,273,0.5
17,0.5,231.5,0.5,342.5,0.5,439,0.5,338.5,0.5,249.5,0.5
18,0.5,216,0.5,309,0.5,393,0.5,315.5,0.5,228,0.5
19,0.5,196,0.5,280.5,0.5,355,0.5,286,0.5,216,0.5
20,0.5,181.5,0.5,260,0.5,317,0.5,258.5,0.5,200.5,0.5
22,0.5,158,0.5,221,0.5,273,0.5,218.5,0.5,168.5,0.5
24,0.5,137.5,0.5,196,0.5,229.5,0.5,185.5,0.5,149.5,0.5
26,0.5,121,0.5,167.5,0.5,192,0.5,156,0.5,126,0.5
28,0.5,103,0.5,149,0.5,161,0.5,142.5,0.5,113,0.5
30,0.5,95,0.5,128.5,0.5,135.5,0.5,128.5,0.5,96.5,0.5
